c1 c2 c3 c4 c5 c6 c7 c8
605 0 0 0 0 0 0 248 
586 0 0 0 0 0 0 264 
579 0 0 0 0 0 0 218 
606 0 0 0 0 0 0 204 
616 0 0 0 0 0 0 221 
608 0 0 0 0 0 0 202 
560 0 0 0 0 0 0 221 
612 0 0 0 0 0 0 233 
608 0 0 0 0 0 0 243 
551 0 0 0 0 0 0 229 
550 0 0 0 0 0 0 230 
581 0 0 0 0 0 0 235 
589 0 0 0 0 0 0 223 
554 0 0 0 0 0 0 215 
559 0 0 0 0 0 0 234 
584 0 0 0 0 0 0 263 
599 0 0 0 0 0 0 218 
564 0 0 0 0 0 0 251 
565 0 0 0 0 0 0 259 
560 0 0 0 0 0 0 217 
602 0 0 0 0 0 0 225 
589 0 0 0 0 0 0 233 
585 0 0 0 0 0 0 224 
571 0 0 0 0 0 0 218 
562 0 0 0 0 0 0 255 
547 0 0 0 0 0 0 231 
541 0 0 0 0 0 0 268 
549 0 0 0 0 0 0 304 
545 0 0 0 0 0 0 291 
516 0 0 0 0 0 0 295 
527 0 0 0 0 0 0 320 
510 0 0 0 0 0 0 317 
503 0 0 0 0 0 0 339 
481 0 0 0 0 0 0 345 
468 0 0 0 0 0 0 319 
457 0 0 0 0 0 0 316 
477 0 0 0 0 0 0 309 
491 0 0 0 0 0 0 324 
455 0 0 0 0 0 0 325 
460 0 0 0 0 0 0 345 
512 0 0 0 0 0 0 319 
460 0 0 0 0 0 0 337 
439 0 0 0 0 0 0 282 
474 0 0 0 0 0 0 317 
464 0 0 0 0 0 0 339 
459 0 0 0 0 0 0 339 
471 0 0 0 0 0 0 272 
462 0 0 0 0 0 0 313 
441 0 0 0 0 0 0 301 
450 0 0 0 0 0 0 313 
435 0 0 0 0 0 0 303 
456 0 0 0 0 0 0 259 
465 0 0 0 0 0 0 277 
545 0 0 0 0 0 0 248 
573 0 0 0 0 0 0 219 
547 0 0 0 0 0 0 231 
594 0 0 0 0 0 0 217 
555 0 0 0 0 0 0 227 
559 0 0 0 0 0 0 199 
565 0 0 0 0 0 0 231 
545 0 0 0 0 0 0 241 
545 0 0 0 0 0 0 242 
571 0 0 0 0 0 0 216 
562 0 0 0 0 0 0 260 
567 0 0 0 0 0 0 250 
597 0 0 0 0 0 0 252 
570 0 0 0 0 0 0 235 
564 0 0 0 0 0 0 236 
608 0 0 0 0 0 0 236 
586 0 0 0 0 0 0 229 
576 0 0 0 0 0 0 223 
586 0 0 0 0 0 0 252 
596 0 0 0 0 0 0 221 
579 0 0 0 0 0 0 229 
572 0 0 0 0 0 0 240 
557 0 0 0 0 0 0 268 
578 0 0 0 0 0 0 248 
536 0 0 0 0 0 0 247 
550 0 0 0 0 0 0 230 
535 0 0 0 0 0 0 245 
566 0 0 0 0 0 0 232 
574 0 0 0 0 0 0 236 
546 0 0 0 0 0 0 226 
565 0 0 0 0 0 0 241 
542 0 0 0 0 0 0 229 
566 0 0 0 0 0 0 226 
554 0 0 0 0 0 0 224 
542 0 0 0 0 0 0 241 
580 0 0 0 0 0 0 231 
572 0 0 0 0 0 0 245 
568 0 0 0 0 0 0 244 
558 0 0 0 0 0 0 240 
585 0 0 0 0 0 0 239 
548 0 0 0 0 0 0 262 
563 0 0 0 0 0 0 285 
538 0 0 0 0 0 0 264 
541 0 0 0 0 0 0 242 
541 0 0 0 0 0 0 248 
535 0 0 0 0 0 0 282 
531 0 0 0 0 0 0 319 
